Index,File Path
0,noise/train-noise\resampled_a001_10_20.wav
1,noise/train-noise\resampled_a001_160_170.wav
2,noise/train-noise\resampled_a002_0_10.wav
3,noise/train-noise\resampled_a002_110_120.wav
4,noise/train-noise\resampled_a002_40_50.wav
5,noise/train-noise\resampled_a002_80_90.wav
6,noise/train-noise\resampled_a003_0_10.wav
7,noise/train-noise\resampled_a003_10_20.wav
8,noise/train-noise\resampled_a003_130_140.wav
9,noise/train-noise\resampled_a003_50_60.wav
10,noise/train-noise\resampled_a004_120_130.wav
11,noise/train-noise\resampled_a004_30_40.wav
12,noise/train-noise\resampled_a004_50_60.wav
13,noise/train-noise\resampled_a005_100_110.wav
14,noise/train-noise\resampled_a005_30_40.wav
15,noise/train-noise\resampled_a005_70_80.wav
16,noise/train-noise\resampled_a006_0_10.wav
17,noise/train-noise\resampled_a006_30_40.wav
18,noise/train-noise\resampled_a006_70_80.wav
19,noise/train-noise\resampled_a007_10_20.wav
20,noise/train-noise\resampled_a007_110_120.wav
21,noise/train-noise\resampled_a007_60_70.wav
22,noise/train-noise\resampled_a007_90_100.wav
23,noise/train-noise\resampled_a008_100_110.wav
24,noise/train-noise\resampled_a008_130_140.wav
25,noise/train-noise\resampled_a008_170_180.wav
26,noise/train-noise\resampled_a008_20_30.wav
27,noise/train-noise\resampled_a008_40_50.wav
28,noise/train-noise\resampled_a009_0_10.wav
29,noise/train-noise\resampled_a009_100_110.wav
30,noise/train-noise\resampled_a009_110_120.wav
31,noise/train-noise\resampled_a009_190_200.wav
32,noise/train-noise\resampled_a009_70_80.wav
33,noise/train-noise\resampled_a010_120_130.wav
34,noise/train-noise\resampled_a010_150_160.wav
35,noise/train-noise\resampled_a010_180_190.wav
36,noise/train-noise\resampled_a010_60_70.wav
37,noise/train-noise\resampled_a010_90_100.wav
38,noise/train-noise\resampled_a011_130_140.wav
39,noise/train-noise\resampled_a011_40_50.wav
40,noise/train-noise\resampled_a011_60_70.wav
41,noise/train-noise\resampled_a011_70_80.wav
42,noise/train-noise\resampled_a012_0_10.wav
43,noise/train-noise\resampled_a012_130_140.wav
44,noise/train-noise\resampled_a012_60_70.wav
