Index,File Path
0,voce/train-voce\1089-134686-0000.wav
1,voce/train-voce\1089-134686-0006.wav
2,voce/train-voce\1089-134686-0009.wav
3,voce/train-voce\1089-134686-0011.wav
4,voce/train-voce\1089-134686-0012.wav
5,voce/train-voce\1089-134686-0018.wav
6,voce/train-voce\1089-134686-0019.wav
7,voce/train-voce\1089-134686-0020.wav
8,voce/train-voce\1089-134686-0022.wav
9,voce/train-voce\1089-134686-0023.wav
10,voce/train-voce\1089-134686-0024.wav
11,voce/train-voce\1089-134691-0002.wav
12,voce/train-voce\1089-134691-0008.wav
13,voce/train-voce\1089-134691-0009.wav
14,voce/train-voce\1089-134691-0011.wav
15,voce/train-voce\1089-134691-0012.wav
16,voce/train-voce\1089-134691-0013.wav
17,voce/train-voce\1089-134691-0017.wav
18,voce/train-voce\1089-134691-0021.wav
19,voce/train-voce\1188-133604-0000.wav
20,voce/train-voce\1188-133604-0002.wav
21,voce/train-voce\1188-133604-0003.wav
22,voce/train-voce\1188-133604-0004.wav
23,voce/train-voce\1188-133604-0007.wav
24,voce/train-voce\1188-133604-0008.wav
25,voce/train-voce\1188-133604-0009.wav
26,voce/train-voce\1188-133604-0011.wav
27,voce/train-voce\1188-133604-0012.wav
28,voce/train-voce\1188-133604-0015.wav
29,voce/train-voce\1188-133604-0016.wav
30,voce/train-voce\1188-133604-0018.wav
31,voce/train-voce\1188-133604-0019.wav
32,voce/train-voce\1188-133604-0020.wav
33,voce/train-voce\1188-133604-0021.wav
34,voce/train-voce\1188-133604-0023.wav
35,voce/train-voce\1188-133604-0024.wav
36,voce/train-voce\1188-133604-0026.wav
37,voce/train-voce\1188-133604-0027.wav
38,voce/train-voce\1188-133604-0028.wav
39,voce/train-voce\1188-133604-0032.wav
40,voce/train-voce\1188-133604-0034.wav
41,voce/train-voce\1188-133604-0037.wav
42,voce/train-voce\1188-133604-0041.wav
43,voce/train-voce\1188-133604-0044.wav
44,voce/train-voce\121-123852-0000.wav
45,voce/train-voce\121-123852-0002.wav
46,voce/train-voce\121-123852-0003.wav
47,voce/train-voce\121-123852-0004.wav
48,voce/train-voce\121-123859-0000.wav
49,voce/train-voce\121-123859-0001.wav
50,voce/train-voce\121-123859-0002.wav
51,voce/train-voce\121-123859-0003.wav
52,voce/train-voce\121-127105-0020.wav
53,voce/train-voce\121-127105-0023.wav
54,voce/train-voce\121-127105-0024.wav
55,voce/train-voce\121-127105-0025.wav
56,voce/train-voce\121-127105-0027.wav
57,voce/train-voce\121-127105-0031.wav
58,voce/train-voce\121-127105-0035.wav
59,voce/train-voce\1221-135766-0000.wav
60,voce/train-voce\1221-135766-0001.wav
61,voce/train-voce\1221-135766-0003.wav
62,voce/train-voce\1221-135766-0005.wav
63,voce/train-voce\1221-135766-0006.wav
64,voce/train-voce\1221-135766-0008.wav
65,voce/train-voce\1221-135766-0009.wav
66,voce/train-voce\1221-135766-0010.wav
67,voce/train-voce\1221-135766-0011.wav
68,voce/train-voce\1221-135766-0012.wav
69,voce/train-voce\1221-135767-0000.wav
70,voce/train-voce\1221-135767-0001.wav
71,voce/train-voce\1221-135767-0002.wav
72,voce/train-voce\1221-135767-0003.wav
73,voce/train-voce\1221-135767-0004.wav
74,voce/train-voce\1221-135767-0006.wav
75,voce/train-voce\1221-135767-0007.wav
76,voce/train-voce\1221-135767-0009.wav
77,voce/train-voce\1221-135767-0011.wav
78,voce/train-voce\1221-135767-0012.wav
79,voce/train-voce\1221-135767-0013.wav
80,voce/train-voce\1221-135767-0016.wav
81,voce/train-voce\1221-135767-0017.wav
82,voce/train-voce\1221-135767-0018.wav
83,voce/train-voce\1221-135767-0021.wav
84,voce/train-voce\1221-135767-0022.wav
85,voce/train-voce\1221-135767-0023.wav
86,voce/train-voce\1284-1180-0008.wav
87,voce/train-voce\1284-1180-0017.wav
88,voce/train-voce\1284-1180-0018.wav
89,voce/train-voce\1284-1180-0019.wav
90,voce/train-voce\1284-1180-0030.wav
91,voce/train-voce\1284-1181-0001.wav
92,voce/train-voce\1284-1181-0006.wav
93,voce/train-voce\1284-1181-0013.wav
94,voce/train-voce\1284-1181-0017.wav
