Index,File Path
0,voce/validare-voce\8230-279154-0028.wav
1,voce/validare-voce\8230-279154-0031.wav
2,voce/validare-voce\8230-279154-0033.wav
3,voce/validare-voce\8230-279154-0034.wav
4,voce/validare-voce\8230-279154-0037.wav
5,voce/validare-voce\8230-279154-0038.wav
6,voce/validare-voce\8230-279154-0040.wav
7,voce/validare-voce\8230-279154-0041.wav
8,voce/validare-voce\8230-279154-0042.wav
9,voce/validare-voce\8230-279154-0043.wav
10,voce/validare-voce\8455-210777-0001.wav
11,voce/validare-voce\8455-210777-0003.wav
12,voce/validare-voce\8455-210777-0008.wav
13,voce/validare-voce\8455-210777-0016.wav
14,voce/validare-voce\8455-210777-0022.wav
15,voce/validare-voce\8455-210777-0027.wav
16,voce/validare-voce\8455-210777-0030.wav
17,voce/validare-voce\8455-210777-0036.wav
18,voce/validare-voce\8455-210777-0038.wav
19,voce/validare-voce\8455-210777-0045.wav
20,voce/validare-voce\8455-210777-0051.wav
21,voce/validare-voce\8455-210777-0057.wav
22,voce/validare-voce\8455-210777-0061.wav
23,voce/validare-voce\8463-287645-0002.wav
24,voce/validare-voce\8463-287645-0005.wav
25,voce/validare-voce\8463-287645-0007.wav
26,voce/validare-voce\8463-294825-0002.wav
27,voce/validare-voce\8463-294825-0006.wav
28,voce/validare-voce\8463-294825-0007.wav
29,voce/validare-voce\8463-294825-0009.wav
30,voce/validare-voce\8463-294825-0013.wav
31,voce/validare-voce\8463-294828-0007.wav
32,voce/validare-voce\8463-294828-0035.wav
33,voce/validare-voce\8463-294828-0038.wav
34,voce/validare-voce\8555-284447-0006.wav
35,voce/validare-voce\8555-284447-0010.wav
36,voce/validare-voce\8555-284447-0015.wav
37,voce/validare-voce\8555-284447-0017.wav
38,voce/validare-voce\8555-284447-0019.wav
39,voce/validare-voce\8555-284447-0021.wav
40,voce/validare-voce\8555-284449-0000.wav
41,voce/validare-voce\8555-284449-0002.wav
42,voce/validare-voce\8555-284449-0004.wav
43,voce/validare-voce\8555-284449-0011.wav
44,voce/validare-voce\8555-284449-0017.wav
45,voce/validare-voce\8555-292519-0000.wav
46,voce/validare-voce\8555-292519-0001.wav
47,voce/validare-voce\8555-292519-0003.wav
48,voce/validare-voce\8555-292519-0006.wav
49,voce/validare-voce\8555-292519-0009.wav
